lysa_hora;Lysá hora;49.5459;18.4473;1324;archiv;0
kovalovice_osicany;Koválovice-Osíčany;49.2853306;17.1698894;241;aktualni-pocasi;0
nezamyslice;Nezamyslice;49.3185350;17.1546486;209;aktualni-pocasi;0
olomouc;Olomouc;49.5936111;17.2275000;229;aktualni-pocasi;0
mostkovice;Prostějov;49.4721472;17.0521161;256;aktualni-pocasi;0
cisarov;Přerov;49.4669444;17.3519444;202;aktualni-pocasi;0
slatinice;Slatinice;49.5615531;17.0999197;245;aktualni-pocasi;0
premyslovice;Přemyslovice;49.5569389;16.9562156;400;aktualni-pocasi;0
stenberk;Šternberk;49.7230556;17.2744444;248;aktualni-pocasi;0
tesetice;Třešetice;49.5917517;17.1283831;230;aktualni-pocasi;0
luka;Luká;49.6522;16.9533;510;archiv;0
otinoves;Otinoves;49.4215197;16.8714506;565;aktualni-pocasi;0
opatovice;Opatovice;49.4997578;17.7388672;291;aktualni-pocasi;0
zerotin;Žerotín;49.7205556;17.1908333;225;aktualni-pocasi;0
vysoky_potok;Malá Morava;50.0764561;16.8388369;550;aktualni-pocasi;0
vikyrovice;Šumperk;49.9825000;17.0119444;336;aktualni-pocasi;0
serak;Šerák;50.1874;17.1082;1328;archiv;0
pardubice;Pardubice-Popkovice;50.0158;15.7402;225;archiv;0
dolni_roven;Dolní Roveň;50.0299425;15.9678817;229;aktualni-pocasi;0
vysoke_myto;Vysoké Mýto;49.9530556;16.1583333;287;aktualni-pocasi;0
moravska_trebova;Moravská Třebová;49.7730556;16.6638889;360;aktualni-pocasi;0
srch;Pardubice;50.0847222;15.7661111;237;aktualni-pocasi;0
byst;Býšť;50.1246717;15.9072825;243;aktualni-pocasi;0
dolni_redice;Holice;50.0778069;15.9239283;230;aktualni-pocasi;0
dolni_cermna;Letohrad;49.9785958;16.5651228;394;aktualni-pocasi;0
vcelakov;Včelákov;49.8176817;15.8843572;500;aktualni-pocasi;0
sudislav;Brandýs nad Orlicí;49.9872222;16.3200000;477;aktualni-pocasi;0
usti_nad_orlici;Ústí nad Orlicí;49.9801;16.4221;402;archiv;0
hlinsko;Hlinsko;49.7621572;15.9059283;585;aktualni-pocasi;0
krouna;Krouna;49.7746847;16.0301531;538;aktualni-pocasi;0
lanskroun;Lanškroun;49.9121825;16.6117467;390;aktualni-pocasi;0
svratouch;Svratouch;49.735;16.0342;737;archiv;0
svatava_s;Svatava;50.1924814;12.6180508;420;aktualni-pocasi;0
cheb;Cheb;50.0683;12.3913;474;archiv;0
nova_role;Nová Role;50.2709161;12.7842175;420;aktualni-pocasi;0
josefov;Sokolov;50.2115150;12.5794283;536;aktualni-pocasi;0
karlovy_vary;Karlovy Vary - Olšová Vrata;50.2016;12.9139;606;archiv;0
as;Aš;50.2238694;12.1949917;650;aktualni-pocasi;0
